Program,CPU,Compiler,Version,Iterations,Runtime
boost,Xeon E2695v3,g++,5,5000,0.080053
atoi,Xeon E2695v3,g++,5,5000,0.059286
sse,Xeon E2695v3,g++,5,5000,0.018580
lut2,Xeon E2695v3,g++,5,5000,0.011824
avx,Xeon E2695v3,g++,5,5000,0.007366
lut1,Xeon E2695v3,g++,5,5000,0.007167
bits,Xeon E2695v3,g++,5,5000,0.007053
nobranch,Xeon E2695v3,g++,5,5000,0.007053
naive,Xeon E2695v3,g++,5,5000,0.006195
bits-satoi,Xeon E2695v3,g++,5,5000,0.005729
lut3,Xeon E2695v3,g++,5,5000,0.005367
unroll3,Xeon E2695v3,g++,5,5000,0.005131
unroll1,Xeon E2695v3,g++,5,5000,0.005106
unroll2,Xeon E2695v3,g++,5,5000,0.004642
satoi,Xeon E2695v3,g++,5,5000,0.004470
defered1,Xeon E2695v3,g++,5,5000,0.004402
reorder,Xeon E2695v3,g++,5,5000,0.004186
unroll4,Xeon E2695v3,g++,5,5000,0.004186
defered2,Xeon E2695v3,g++,5,5000,0.003869
defered3,Xeon E2695v3,g++,5,5000,0.003622
defered4,Xeon E2695v3,g++,5,5000,0.003528
boost,Xeon E2695v3,clang++,6,5000,0.092607
atoi,Xeon E2695v3,clang++,6,5000,0.059126
sse,Xeon E2695v3,clang++,6,5000,0.022447
lut2,Xeon E2695v3,clang++,6,5000,0.010519
avx,Xeon E2695v3,clang++,6,5000,0.007049
lut1,Xeon E2695v3,clang++,6,5000,0.007049
bits,Xeon E2695v3,clang++,6,5000,0.006925
nobranch,Xeon E2695v3,clang++,6,5000,0.010542
naive,Xeon E2695v3,clang++,6,5000,0.008772
bits-satoi,Xeon E2695v3,clang++,6,5000,0.005214
lut3,Xeon E2695v3,clang++,6,5000,0.007224
unroll3,Xeon E2695v3,clang++,6,5000,0.008669
unroll1,Xeon E2695v3,clang++,6,5000,0.010113
unroll2,Xeon E2695v3,clang++,6,5000,0.009518
satoi,Xeon E2695v3,clang++,6,5000,0.004646
defered1,Xeon E2695v3,clang++,6,5000,0.004243
reorder,Xeon E2695v3,clang++,6,5000,0.004229
unroll4,Xeon E2695v3,clang++,6,5000,0.004159
defered2,Xeon E2695v3,clang++,6,5000,0.004323
defered3,Xeon E2695v3,clang++,6,5000,0.006599
defered4,Xeon E2695v3,clang++,6,5000,0.006546
boost,AMD 1950X,g++,5,5000,0.065608
atoi,AMD 1950X,g++,5,5000,0.052520
sse,AMD 1950X,g++,5,5000,0.012105
lut2,AMD 1950X,g++,5,5000,0.008738
avx,AMD 1950X,g++,5,5000,0.006134
lut1,AMD 1950X,g++,5,5000,0.005199
bits,AMD 1950X,g++,5,5000,0.005634
nobranch,AMD 1950X,g++,5,5000,0.006820
naive,AMD 1950X,g++,5,5000,0.006328
bits-satoi,AMD 1950X,g++,5,5000,0.005274
lut3,AMD 1950X,g++,5,5000,0.003933
unroll3,AMD 1950X,g++,5,5000,0.005364
unroll1,AMD 1950X,g++,5,5000,0.005133
unroll2,AMD 1950X,g++,5,5000,0.004890
satoi,AMD 1950X,g++,5,5000,0.005113
defered1,AMD 1950X,g++,5,5000,0.005592
reorder,AMD 1950X,g++,5,5000,0.005429
unroll4,AMD 1950X,g++,5,5000,0.004687
defered2,AMD 1950X,g++,5,5000,0.005575
defered3,AMD 1950X,g++,5,5000,0.005431
defered4,AMD 1950X,g++,5,5000,0.005014
atoi,Xeon E2695v3,g++,10.3.0,5000,0.052898
reorder,Xeon E2695v3,g++,10.3.0,5000,0.005701
lut2,Xeon E2695v3,g++,10.3.0,5000,0.011927
boost,Xeon E2695v3,g++,10.3.0,5000,0.064076
defered4,Xeon E2695v3,g++,10.3.0,5000,0.004999
defered1,Xeon E2695v3,g++,10.3.0,5000,0.005877
lut1,Xeon E2695v3,g++,10.3.0,5000,0.009712
bits,Xeon E2695v3,g++,10.3.0,5000,0.009641
pext,Xeon E2695v3,g++,10.3.0,5000,0.004969
nobranch,Xeon E2695v3,g++,10.3.0,5000,0.009943
unroll3,Xeon E2695v3,g++,10.3.0,5000,0.008837
lut3,Xeon E2695v3,g++,10.3.0,5000,0.00729
bits-satoi,Xeon E2695v3,g++,10.3.0,5000,0.007925
sse,Xeon E2695v3,g++,10.3.0,5000,0.031022
naive,Xeon E2695v3,g++,10.3.0,5000,0.008541
defered2,Xeon E2695v3,g++,10.3.0,5000,0.005604
satoi,Xeon E2695v3,g++,10.3.0,5000,0.006046
unroll2,Xeon E2695v3,g++,10.3.0,5000,0.006693
unroll1,Xeon E2695v3,g++,10.3.0,5000,0.006808
defered3,Xeon E2695v3,g++,10.3.0,5000,0.005112
unroll4,Xeon E2695v3,g++,10.3.0,5000,0.005497
avx,Xeon E2695v3,g++,10.3.0,5000,0.008064
atoi,Xeon E2695v3,g++,8.4.0,5000,0.05386
reorder,Xeon E2695v3,g++,8.4.0,5000,0.004466
lut2,Xeon E2695v3,g++,8.4.0,5000,0.012038
boost,Xeon E2695v3,g++,8.4.0,5000,0.094474
defered4,Xeon E2695v3,g++,8.4.0,5000,0.005003
defered1,Xeon E2695v3,g++,8.4.0,5000,0.006438
lut1,Xeon E2695v3,g++,8.4.0,5000,0.009739
bits,Xeon E2695v3,g++,8.4.0,5000,0.009913
pext,Xeon E2695v3,g++,8.4.0,5000,0.003661
nobranch,Xeon E2695v3,g++,8.4.0,5000,0.009949
unroll3,Xeon E2695v3,g++,8.4.0,5000,0.008843
lut3,Xeon E2695v3,g++,8.4.0,5000,0.007494
bits-satoi,Xeon E2695v3,g++,8.4.0,5000,0.008067
sse,Xeon E2695v3,g++,8.4.0,5000,0.032119
naive,Xeon E2695v3,g++,8.4.0,5000,0.009393
defered2,Xeon E2695v3,g++,8.4.0,5000,0.006074
satoi,Xeon E2695v3,g++,8.4.0,5000,0.006187
unroll2,Xeon E2695v3,g++,8.4.0,5000,0.004733
unroll1,Xeon E2695v3,g++,8.4.0,5000,0.006822
defered3,Xeon E2695v3,g++,8.4.0,5000,0.00509
unroll4,Xeon E2695v3,g++,8.4.0,5000,0.005531
avx,Xeon E2695v3,g++,8.4.0,5000,0.008284
atoi,Xeon E2695v3,g++,9.3.0,5000,0.052729
reorder,Xeon E2695v3,g++,9.3.0,5000,0.005848
lut2,Xeon E2695v3,g++,9.3.0,5000,0.008499
boost,Xeon E2695v3,g++,9.3.0,5000,0.065846
defered4,Xeon E2695v3,g++,9.3.0,5000,0.005016
defered1,Xeon E2695v3,g++,9.3.0,5000,0.006485
lut1,Xeon E2695v3,g++,9.3.0,5000,0.009818
bits,Xeon E2695v3,g++,9.3.0,5000,0.010104
pext,Xeon E2695v3,g++,9.3.0,5000,0.004938
nobranch,Xeon E2695v3,g++,9.3.0,5000,0.00995
unroll3,Xeon E2695v3,g++,9.3.0,5000,0.008858
lut3,Xeon E2695v3,g++,9.3.0,5000,0.007361
bits-satoi,Xeon E2695v3,g++,9.3.0,5000,0.00792
sse,Xeon E2695v3,g++,9.3.0,5000,0.031136
naive,Xeon E2695v3,g++,9.3.0,5000,0.009344
defered2,Xeon E2695v3,g++,9.3.0,5000,0.005944
satoi,Xeon E2695v3,g++,9.3.0,5000,0.006082
unroll2,Xeon E2695v3,g++,9.3.0,5000,0.006298
unroll1,Xeon E2695v3,g++,9.3.0,5000,0.006811
defered3,Xeon E2695v3,g++,9.3.0,5000,0.005188
unroll4,Xeon E2695v3,g++,9.3.0,5000,0.005517
avx,Xeon E2695v3,g++,9.3.0,5000,0.00816
atoi,Xeon E2695v3,g++,7.5.0,5000,0.053981
reorder,Xeon E2695v3,g++,7.5.0,5000,0.005744
lut2,Xeon E2695v3,g++,7.5.0,5000,0.011594
boost,Xeon E2695v3,g++,7.5.0,5000,0.063189
defered4,Xeon E2695v3,g++,7.5.0,5000,0.005016
defered1,Xeon E2695v3,g++,7.5.0,5000,0.005919
lut1,Xeon E2695v3,g++,7.5.0,5000,0.00999
bits,Xeon E2695v3,g++,7.5.0,5000,0.006828
pext,Xeon E2695v3,g++,7.5.0,5000,0.005067
nobranch,Xeon E2695v3,g++,7.5.0,5000,0.009913
unroll3,Xeon E2695v3,g++,7.5.0,5000,0.007282
lut3,Xeon E2695v3,g++,7.5.0,5000,0.006735
bits-satoi,Xeon E2695v3,g++,7.5.0,5000,0.008071
sse,Xeon E2695v3,g++,7.5.0,5000,0.030307
naive,Xeon E2695v3,g++,7.5.0,5000,0.010335
defered2,Xeon E2695v3,g++,7.5.0,5000,0.005483
satoi,Xeon E2695v3,g++,7.5.0,5000,0.006072
